title,link,date,category,Agency
Ohio Medical Doctor Sentenced To Prison For Health Care Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/ohio-medical-doctor-sentenced-to-prison-for-health-care-fraud-scheme/,"July 19, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Ohio"
Pain Management Physician And Former Member Of Kentucky’s Medical Board Convicted Of Unlawfully Prescribing Opioids,https://oig.hhs.gov/fraud/enforcement/pain-management-physician-and-former-member-of-kentuckys-medical-board-convicted-of-unlawfully-prescribing-opioids/,"July 19, 2024",Criminal and Civil Actions,U.S. Department of Justice
Attorney General Coleman Announces Indictments For Exploitation Of Vulnerable Adult In Ohio County,https://oig.hhs.gov/fraud/enforcement/attorney-general-coleman-announces-indictments-for-exploitation-of-vulnerable-adult-in-ohio-county/,"July 19, 2024",State Enforcement Agencies,State of Kentucky
Pain Management Physician And Former Member Of Kentucky’s Medical Board Convicted Of Unlawfully Prescribing Opioids,https://oig.hhs.gov/fraud/enforcement/pain-management-physician-and-former-member-of-kentuckys-medical-board-convicted-of-unlawfully-prescribing-opioids-01/,"July 19, 2024",State Enforcement Agencies,State of Kentucky
"Dr. Timothy Niewold Agreed to Pay $160,000 for Allegedly Violating the Civil Monetary Penalties Law by Making False Statements in HHS Grant Applications",https://oig.hhs.gov/fraud/enforcement/dr-timothy-niewold-agreed-to-pay-160000-for-allegedly-violating-the-civil-monetary-penalties-law-by-making-false-statements-in-hhs-grant-applications/,"July 18, 2024",CMP and Affirmative Exclusions,
Danbury Non-Profit Settles Allegations It Enrolled Children Of Employees Who Falsely Claimed To Be Homeless Into Its Head Start Programs,https://oig.hhs.gov/fraud/enforcement/danbury-non-profit-settles-allegations-it-enrolled-children-of-employees-who-falsely-claimed-to-be-homeless-into-its-head-start-programs/,"July 18, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Connecticut"
Whitefish Doctor Admits Defrauding Medicare And Other Federal Health Programs,https://oig.hhs.gov/fraud/enforcement/whitefish-doctor-admits-defrauding-medicare-and-other-federal-health-programs/,"July 18, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Montana"
Addiction Treatment Chain Owner & Company Plead Guilty To Health Care Fraud Conspiracy,https://oig.hhs.gov/fraud/enforcement/addiction-treatment-chain-owner-company-plead-guilty-to-health-care-fraud-conspiracy/,"July 18, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Rhode Island"
Kindred And Related Entities Agree To Pay $19.428M To Settle Federal And State False Claims Act Lawsuits Alleging Ineligible Claims For Hospice Patients,https://oig.hhs.gov/fraud/enforcement/kindred-and-related-entities-agree-to-pay-19428m-to-settle-federal-and-state-false-claims-act-lawsuits-alleging-ineligible-claims-for-hospice-patients-01/,"July 18, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Kentucky"
DaVita To Pay Over $34M To Resolve Allegations Of Illegal Kickbacks,https://oig.hhs.gov/fraud/enforcement/davita-to-pay-over-34m-to-resolve-allegations-of-illegal-kickbacks/,"July 18, 2024",Criminal and Civil Actions,U.S. Department of Justice
Florida Man Charged With Six Felonies For Mail-Order Pharmacy And Healthcare Kickback Scheme,https://oig.hhs.gov/fraud/enforcement/florida-man-charged-with-six-felonies-for-mail-order-pharmacy-and-healthcare-kickback-scheme/,"July 17, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Central District of Illinois"
Area Pharmacy Agrees to Resolve Civil Allegations of Improper Dispensing of Controlled Substances,https://oig.hhs.gov/fraud/enforcement/area-pharmacy-agrees-to-resolve-civil-allegations-of-improper-dispensing-of-controlled-substances/,"July 17, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Kindred And Related Entities Agree To Pay $19.428M To Settle Federal And State False Claims Act Lawsuits Alleging Ineligible Claims For Hospice Patients,https://oig.hhs.gov/fraud/enforcement/kindred-and-related-entities-agree-to-pay-19428m-to-settle-federal-and-state-false-claims-act-lawsuits-alleging-ineligible-claims-for-hospice-patients/,"July 17, 2024",Criminal and Civil Actions,U.S. Department of Justice
"Cooperating Cancer Testing Company Agrees To Pay Over $900,000 To Resolve Allegations Of False Claims For Lab Tests",https://oig.hhs.gov/fraud/enforcement/cooperating-cancer-testing-company-agrees-to-pay-over-900000-to-resolve-allegations-of-false-claims-for-lab-tests/,"July 16, 2024",Criminal and Civil Actions,"U.S. Attorney’s Office, Northern District of California"
"Caregivers Indicted, Charged With Neglect Of Vulnerable Adult",https://oig.hhs.gov/fraud/enforcement/caregivers-indicted-charged-with-neglect-of-vulnerable-adult/,"July 16, 2024",State Enforcement Agencies,State of Tennessee
Former Georgia Insurance Commissioner Sentenced To Prison,https://oig.hhs.gov/fraud/enforcement/former-georgia-insurance-commissioner-sentenced-to-prison/,"July 12, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Georgia"
Former Chief Financial Officer Of Chicago Hospital Among Three Defendants Charged In Alleged $15 Million Embezzlement Scheme,https://oig.hhs.gov/fraud/enforcement/former-chief-financial-officer-of-chicago-hospital-among-three-defendants-charged-in-alleged-15-million-embezzlement-scheme/,"July 12, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Illinois"
Pharmaceutical Marketer Sentenced For Compounded Medications Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/pharmaceutical-marketer-sentenced-for-compounded-medications-fraud-scheme/,"July 12, 2024",Criminal and Civil Actions,U.S. Department of Justice
"University of Maryland Medical Center Agreed to Pay $34,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/university-of-maryland-medical-center-agreed-to-pay-34000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,"July 12, 2024",Fraud Self-Disclosures,
Attorney General Josh Stein Announces $2.45 Million Health Care Fraud Settlement,https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-announces-245-million-health-care-fraud-settlement/,"July 12, 2024",State Enforcement Agencies,State of North Carolina
Three Clermont Labs Agree To Pay $2.45 Million To Settle False Claims Act Liability For Manipulating Diagnosis Codes,https://oig.hhs.gov/fraud/enforcement/three-clermont-labs-agree-to-pay-245-million-to-settle-false-claims-act-liability-for-manipulating-diagnosis-codes/,"July 11, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Middle District of Florida"
AG Moody’s Medicaid Fraud Control Unit Secures Half A Million Dollars For Florida Medicaid Program,https://oig.hhs.gov/fraud/enforcement/ag-moodys-medicaid-fraud-control-unit-secures-half-a-million-dollars-for-florida-medicaid-program/,"July 11, 2024",State Enforcement Agencies,State of Florida
Kevin Michael Brown Agreed to Be Excluded for Five Years for Allegedly Submitting False Claims for Neuro-Stimulators,https://oig.hhs.gov/fraud/enforcement/kevin-michael-brown-agreed-to-be-excluded-for-five-years-for-allegedly-submitting-false-claims-for-neuro-stimulators/,"July 10, 2024",CMP and Affirmative Exclusions,
Pacific Toxicology Laboratories Agrees To Pay $1 Million To Resolve Allegations Of Fraudulent Billing,https://oig.hhs.gov/fraud/enforcement/pacific-toxicology-laboratories-agrees-to-pay-1-million-to-resolve-allegations-of-fraudulent-billing/,"July 10, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Massachusetts"
Trussville Man Sentenced In Multi-Million-Dollar Health Care Fraud Case,https://oig.hhs.gov/fraud/enforcement/trussville-man-sentenced-in-multi-million-dollar-health-care-fraud-case/,"July 10, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Alabama"
Pharmacy Owner And Associate Sentenced For Health Care Fraud And Black Market Prescription Drug Diversion Scheme,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-and-associate-sentenced-for-health-care-fraud-and-black-market-prescription-drug-diversion-scheme/,"July 10, 2024",Criminal and Civil Actions,U.S. Department of Justice
Rite Aid Corporation And Affiliates Agree To Settle False Claims Act And Controlled Substance Act Allegations Related To Opioid Dispensing,https://oig.hhs.gov/fraud/enforcement/rite-aid-corporation-and-affiliates-agree-to-settle-false-claims-act-and-controlled-substance-act-allegations-related-to-opioid-dispensing/,"July 10, 2024",Criminal and Civil Actions,U.S. Department of Justice
Rite Aid Corporation And Elixir Insurance Company Agree To Pay $101M To Resolve Allegations Of Falsely Reporting Rebates,https://oig.hhs.gov/fraud/enforcement/rite-aid-corporation-and-elixir-insurance-company-agree-to-pay-101m-to-resolve-allegations-of-falsely-reporting-rebates/,"July 10, 2024",Criminal and Civil Actions,U.S. Department of Justice
The Grand Health Care System And 12 Affiliated Skilled Nursing Facilities To Pay $21.3M For Allegedly Providing And Billing For Fraudulent Rehabilitation Therapy Services,https://oig.hhs.gov/fraud/enforcement/the-grand-health-care-system-and-12-affiliated-skilled-nursing-facilities-to-pay-213m-for-allegedly-providing-and-billing-for-fraudulent-rehabilitation-therapy-services/,"July 10, 2024",Criminal and Civil Actions,"U.S. Department of Justice and U.S. Attorney's Office, Northern District of New York"
"OnePeak Southern Oregon Agreed to Pay $29,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/onepeak-southern-oregon-agreed-to-pay-29000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,"July 10, 2024",Fraud Self-Disclosures,
AG Nessel Charges Detroit Woman With Medicaid Fraud,https://oig.hhs.gov/fraud/enforcement/ag-nessel-charges-detroit-woman-with-medicaid-fraud/,"July 10, 2024",State Enforcement Agencies,State of Michigan
Former Southeastern Connecticut Counselor Sentenced for Health Care Fraud and Kickback Offenses,https://oig.hhs.gov/fraud/enforcement/former-southeastern-connecticut-counselor-sentenced-for-health-care-fraud-and-kickback-offenses/,"July 9, 2024",Criminal and Civil Actions,"U.S. Attorney’s Office, District of Connecticut"
Investigation Into TennCare Fraud Results In Arrests In Memphis,https://oig.hhs.gov/fraud/enforcement/investigation-into-tenncare-fraud-results-in-arrests-in-memphis/,"July 9, 2024",State Enforcement Agencies,State of Tennessee
"Jefferson County Doctor, Staffers Accused of Conspiracy, Health Care Fraud",https://oig.hhs.gov/fraud/enforcement/jefferson-county-doctor-staffers-accused-of-conspiracy-health-care-fraud/,"July 8, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Missouri"
Illegal Alien and Two Others Sentenced to Federal Prison in Organ Transplant Scheme,https://oig.hhs.gov/fraud/enforcement/illegal-alien-and-two-others-sentenced-to-federal-prison-in-organ-transplant-scheme/,"July 3, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Iowa"
Attorney General James Announces Arrest of Tompkins County Transportation Company Owner for Stealing Over $1 Million from Medicaid,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-arrest-of-tompkins-county-transportation-company-owner-for-stealing-over-1-million-from-medicaid/,"July 3, 2024",State Enforcement Agencies,State of New York
Attorney General James Announces Indictment of Orange County Transportation Company for Stealing Over $2.3 Million from Medicaid,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-indictment-of-orange-county-transportation-company-for-stealing-over-23-million-from-medicaid/,"July 3, 2024",State Enforcement Agencies,State of New York
Sioux Falls Man And Woman Sentenced For Embezzlement And Theft From Indian Tribal Organization,https://oig.hhs.gov/fraud/enforcement/sioux-falls-man-and-woman-sentenced-for-embezzlement-and-theft-from-indian-tribal-organization/,"July 2, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of South Dakota"
Nine Individuals Charged In Middle District Of Florida In Connection With Health Care Fraud Schemes,https://oig.hhs.gov/fraud/enforcement/nine-individuals-charged-in-middle-district-of-florida-in-connection-with-health-care-fraud-schemes/,"July 1, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Middle District of Florida"
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims - California,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-california/,"July 1, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of California"
Suburban Chicago Physician Pleads Guilty To Federal Health Care Fraud Charges,https://oig.hhs.gov/fraud/enforcement/suburban-chicago-physician-pleads-guilty-to-federal-health-care-fraud-charges/,"July 1, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Illinois"
Former Senior Policy Advisor To Austin City Official Sentenced For Federal Conspiracy,https://oig.hhs.gov/fraud/enforcement/former-senior-policy-advisor-to-austin-city-official-sentenced-for-federal-conspiracy/,"July 1, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Texas"
Home Health Providers To Pay $4.5M To Resolve Alleged False Claims Act Liability For Providing Kickbacks To Assisted Living Facilities And Doctors,https://oig.hhs.gov/fraud/enforcement/home-health-providers-to-pay-45m-to-resolve-alleged-false-claims-act-liability-for-providing-kickbacks-to-assisted-living-facilities-and-doctors/,"July 1, 2024",Criminal and Civil Actions,U.S. Department of Justice
Attorney General Alan Wilson announces arrest of Easley woman accused of stealing from assisted living facility resident,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-easley-woman-accused-of-stealing-from-assisted-living-facility-resident/,"July 1, 2024",State Enforcement Agencies,State of South Carolina
Seven Charged In Arizona As Part Of The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,https://oig.hhs.gov/fraud/enforcement/seven-charged-in-arizona-as-part-of-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/,"June 28, 2024",Criminal and Civil Actions,"June 28, 2024: U.S. Attorney's Office, District of Arizona"
Tareen Dermatology Agrees To Pay More Than $1.6 Million To Resolve Alleged False Claims Act Violations,https://oig.hhs.gov/fraud/enforcement/tareen-dermatology-agrees-to-pay-more-than-16-million-to-resolve-alleged-false-claims-act-violations/,"June 28, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Minnesota"
Researcher At University Of Montana Admits Falsifying Records In Federal Investigation,https://oig.hhs.gov/fraud/enforcement/researcher-at-university-of-montana-admits-falsifying-records-in-federal-investigation/,"June 28, 2024",Criminal and Civil Actions,"U.S. Attorney’s Office, District of Montana"
Georgia Chiropractor Admits $14.9 Million Health Care Fraud And Kickback Scheme Related To Durable Medical Equipment And Cancer Genetic Testing,https://oig.hhs.gov/fraud/enforcement/georgia-chiropractor-admits-149-million-health-care-fraud-and-kickback-scheme-related-to-durable-medical-equipment-and-cancer-genetic-testing/,"June 28, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of New Jersey"
U.S. Attorney’s Office Announces Two Indictments of Health Care Fraud Related Charges,https://oig.hhs.gov/fraud/enforcement/us-attorneys-office-announces-two-indictments-of-health-care-fraud-related-charges/,"June 28, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Kentucky"
Three Baton Rouge Individuals Charged In Federal Court In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,https://oig.hhs.gov/fraud/enforcement/three-baton-rouge-individuals-charged-in-federal-court-in-connection-with-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/,"June 28, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Middle District of Louisiana"
Emergency Room Doctor Pleads Guilty To HIPAA Violation,https://oig.hhs.gov/fraud/enforcement/emergency-room-doctor-pleads-guilty-to-hipaa-violation/,"June 28, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Iowa"
West Monroe Man Charged In Federal Court In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,https://oig.hhs.gov/fraud/enforcement/west-monroe-man-charged-in-federal-court-in-connection-with-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/,"June 28, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Louisiana"
Montclair Pharmacist Charged With Submitting Over $300 Million In Fraudulent Claims To Medi-Cal In Medication Reimbursement Scam,https://oig.hhs.gov/fraud/enforcement/montclair-pharmacist-charged-with-submitting-over-300-million-in-fraudulent-claims-to-medi-cal-in-medication-reimbursement-scam/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Central District of California"
Bloomfield Man Pleads Guilty To Health Care Fraud Charge,https://oig.hhs.gov/fraud/enforcement/bloomfield-man-pleads-guilty-to-health-care-fraud-charge/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Connecticut"
Magellan Diagnostics Pleads Guilty To Criminal FDCA Charges,https://oig.hhs.gov/fraud/enforcement/magellan-diagnostics-pleads-guilty-to-criminal-fdca-charges/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Massachusetts"
Eastern District of Michigan Charges Six Individuals As Part Of National Health Care Fraud Takedown,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-six-defendants-charged-in-the-eastern-district-of-michigan/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Michigan"
U.S. Attorney Breon Peace Announces 11 Arrests in National Health Care Fraud Enforcement Action,https://oig.hhs.gov/fraud/enforcement/us-attorney-breon-peace-announces-11-arrests-in-national-health-care-fraud-enforcement-action/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of New York"
Middle District Of Tennessee Charges Four Individuals Responsible For $15 Million In False Medicare Billing As Part Of National Health Care Fraud Takedown,https://oig.hhs.gov/fraud/enforcement/middle-district-of-tennessee-charges-four-individuals-responsible-for-15-million-in-false-medicare-billing-as-part-of-national-health-care-fraud-takedown/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Middle District of Tennessee"
Madison Man Charged With Conspiracy To Defraud The United States As Part Of Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,https://oig.hhs.gov/fraud/enforcement/madison-man-charged-with-conspiracy-to-defraud-the-united-states-as-part-of-department-of-justices-2024-national-health-care-fraud-enforcement-action/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Southern District of Mississippi"
Eight Charged Locally As Part Of National Health Care Fraud Enforcement Action,https://oig.hhs.gov/fraud/enforcement/eight-charged-locally-as-part-of-national-health-care-fraud-enforcement-action/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Southern District of Texas"
U.S. Attorney Bennett Announces Participation in Coordinated National Health Care Fraud Enforcement Action,https://oig.hhs.gov/fraud/enforcement/us-attorney-bennett-announces-participation-in-coordinated-national-health-care-fraud-enforcement-action/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Kentucky"
Kalamazoo Doctor Charged for Role in Telehealth Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/kalamazoo-doctor-charged-for-role-in-telehealth-fraud-scheme/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Michigan"
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims - Virginia,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-virginia/,"June 27, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Virginia"
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims/,"June 27, 2024",Criminal and Civil Actions,U.S. Department of Justice
Podiatrist Sentenced for $4M Foot Bath Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/podiatrist-sentenced-for-4m-foot-bath-fraud-scheme/,"June 27, 2024",Criminal and Civil Actions,U.S. Department of Justice
Attorney General Mayes Highlights Participation In National Health Care Fraud Enforcement Action,https://oig.hhs.gov/fraud/enforcement/attorney-general-mayes-highlights-participation-in-national-health-care-fraud-enforcement-action/,"June 27, 2024",State Enforcement Agencies,State of Arizona
Attorney General James Announces Indictments of Rensselaer and Orange County Medical Transport Companies for Stealing over $4.4 Million From Medicaid,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-indictments-of-rensselaer-and-orange-county-medical-transport-companies-for-stealing-over-44-million-from-medicaid/,"June 27, 2024",State Enforcement Agencies,State of New York
U.S. Attorney Announces Settlement Of Civil Fraud Lawsuit Against VNS Health And Related Entities For Billing For Services They Failed To Provide Or Document,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-settlement-of-civil-fraud-lawsuit-against-vns-health-and-related-entities-for-billing-for-services-they-failed-to-provide-or-document/,"June 26, 2024",Criminal and Civil Actions,"U.S. Attorney’s Office, Southern District of New York"
"Former Panama City Doctor Agrees To $550,000 Consent Judgment To Resolve FCA and CSA Lawsuit",https://oig.hhs.gov/fraud/enforcement/former-panama-city-doctor-agrees-to-550000-consent-judgment-to-resolve-fca-and-csa-lawsuit/,"June 25, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Florida"
Houston Dental Clinic Operator Heads To Prison For Role In $6M Pediatric Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/houston-dental-clinic-operator-heads-to-prison-for-role-in-6m-pediatric-fraud-scheme/,"June 25, 2024",Criminal and Civil Actions,"U.S. Attorney’s Office, Southern District of Texas"
"Palo Alto Medical Foundation and Palo Alto Foundation Medical Group Agreed to Pay $291,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",https://oig.hhs.gov/fraud/enforcement/palo-alto-medical-foundation-and-palo-alto-foundation-medical-group-agreed-to-pay-291000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed/,"June 25, 2024",Fraud Self-Disclosures,
Ingham County Nurse Charged With Falsifying Medical Records Connected To Resident Fall,https://oig.hhs.gov/fraud/enforcement/ingham-county-nurse-charged-with-falsifying-medical-records-connected-to-resident-fall/,"June 25, 2024",State Enforcement Agencies,State of Michigan
Milford Woman Pleads Guilty To Theft Of Medicaid Funds,https://oig.hhs.gov/fraud/enforcement/milford-woman-pleads-guilty-to-theft-of-medicaid-funds/,"June 25, 2024",State Enforcement Agencies,State of New Hampshire
Pharmacy Owners Sentenced For $18M COVID-19 Health Care Fraud And Money Laundering Scheme,https://oig.hhs.gov/fraud/enforcement/pharmacy-owners-sentenced-for-18m-covid-19-health-care-fraud-and-money-laundering-scheme/,"June 24, 2024",COVID-19Criminal and Civil Actions,"U.S. Department of Justice and U.S. Attorney's Office, Eastern District of New York"
Texas Medical Center Institutions Agree To Pay $15M Record Settlement Involving Concurrent Billing Claims For Critical Surgeries,https://oig.hhs.gov/fraud/enforcement/texas-medical-center-institutions-agree-to-pay-15m-record-settlement-involving-concurrent-billing-claims-for-critical-surgeries/,"June 24, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Southern District of Texas"
Worcester Individual Indicted For Stealing From Rest Home And Residents,https://oig.hhs.gov/fraud/enforcement/worcester-individual-indicted-for-stealing-from-rest-home-and-residents/,"June 24, 2024",State Enforcement Agencies,State of Massachusetts
Attorney General Alan Wilson Announces Arrest Of Barnwell Woman For Stealing From Assisted Living Resident,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-barnwell-woman-for-stealing-from-assisted-living-resident/,"June 24, 2024",State Enforcement Agencies,State of South Carolina
Attorney General Alan Wilson Announces Arrest Of Mount Pleasant Nurse Charged With Stealing Drugs,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-mount-pleasant-nurse-charged-with-stealing-drugs/,"June 24, 2024",State Enforcement Agencies,State of South Carolina
"Provider Agrees To Pay Over $629,000 To Settle Allegations Of False Claims Act Violations",https://oig.hhs.gov/fraud/enforcement/provider-agrees-to-pay-over-629000-to-settle-allegations-of-false-claims-act-violations/,"June 21, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Maine"
Doctor Convicted Of Unlawful Distribution Of Controlled Substances,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-unlawful-distribution-of-controlled-substances/,"June 21, 2024",Criminal and Civil Actions,U.S. Department of Justice
Waterbury Man Sentenced For Medicaid Fraud,https://oig.hhs.gov/fraud/enforcement/waterbury-man-sentenced-for-medicaid-fraud/,"June 21, 2024",State Enforcement Agencies,State of Connecticut
Attorney General Jackley Announces Rapid City Woman Sentenced For Grand Theft By Embezzlement,https://oig.hhs.gov/fraud/enforcement/attorney-general-jackley-announces-rapid-city-woman-sentenced-for-grand-theft-by-embezzlement/,"June 21, 2024",State Enforcement Agencies,State of South Dakota
Averhealth To Pay Over $1.3 Million To Resolve False Claims Act Allegations Related To Drug Tests Used In Michigan’s Children’s Protective Services & Foster Care Programs,https://oig.hhs.gov/fraud/enforcement/averhealth-to-pay-over-13-million-to-resolve-false-claims-act-allegations-related-to-drug-tests-used-in-michigans-childrens-protective-services-foster-care-programs/,"June 20, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of Michigan"
Tapestry Hospice Settles Healthcare Kickback Claims For $1.4 Million,https://oig.hhs.gov/fraud/enforcement/tapestry-hospice-settles-healthcare-kickback-claims-for-14-million/,"June 20, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Georgia"
Hospice Care Company Owner Sentenced On Health Care Fraud Charges,https://oig.hhs.gov/fraud/enforcement/hospice-care-company-owner-sentenced-on-health-care-fraud-charges/,"June 20, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Louisiana"
"Altarum Institute Agreed to Pay $262,000 for Allegedly Violating the Civil Monetary Penalties Law by Reporting Inaccurate Time and Effort Spent and Falsifying Data",https://oig.hhs.gov/fraud/enforcement/altarum-institute-agreed-to-pay-262000-for-allegedly-violating-the-civil-monetary-penalties-law-by-reporting-inaccurate-time-and-effort-spent-and-falsifying-data/,"June 20, 2024",Grant and Contractor Fraud Self-Disclosures,
Co-owners of Rhode Island Health Care Centers Charged With Health Care Fraud,https://oig.hhs.gov/fraud/enforcement/co-owners-of-rhode-island-health-care-centers-charged-with-health-care-fraud/,"June 19, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, District of Rhode Island"
Attorney General Ellison Charges Five With Stealing More Than $10M In Two Medicaid Fraud Prosecutions,https://oig.hhs.gov/fraud/enforcement/attorney-general-ellison-charges-five-with-stealing-more-than-10m-in-two-medicaid-fraud-prosecutions/,"June 19, 2024",State Enforcement Agencies,State of Minnesota
New Indictment Alleges Aaron Rossi Committed Fraud In COVID-19 Testing,https://oig.hhs.gov/fraud/enforcement/new-indictment-alleges-aaron-rossi-committed-fraud-in-covid-19-testing/,"June 18, 2024",COVID-19Criminal and Civil Actions,"U.S. Attorney's Office, Central District of Illinois"
Northern Michigan Physician Assistant Charged With COVID-19 Pandemic Assistance Fraud,https://oig.hhs.gov/fraud/enforcement/northern-michigan-physician-assistant-charged-with-covid-19-pandemic-assistance-fraud/,"June 18, 2024",COVID-19Criminal and Civil Actions,"U.S. Attorney's Office, Western District of Michigan"
Chicago Health Care Company And Its Former Owners To Pay Nearly $2 Million To Settle False Claims Act Lawsuit,https://oig.hhs.gov/fraud/enforcement/chicago-health-care-company-and-its-former-owners-to-pay-nearly-2-million-to-settle-false-claims-act-lawsuit/,"June 18, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Northern District of Illinois"
Woman Pleads Guilty To COVID-19 Vaccine Card Fraud Scheme,https://oig.hhs.gov/fraud/enforcement/woman-pleads-guilty-to-covid-19-vaccine-card-fraud-scheme/,"June 17, 2024",COVID-19Criminal and Civil Actions,"U.S. Department of Justice and U.S. Attorney's Office, Eastern District of New York"
New Hanover County Social Worker Sentenced To Prison For Conspiring To Defraud Medicaid,https://oig.hhs.gov/fraud/enforcement/new-hanover-county-social-worker-sentenced-to-prison-for-conspiring-to-defraud-medicaid/,"June 17, 2024",Criminal and Civil Actions,"U.S. Attorney's Office, Eastern District of North Carolina"
