Title,Date,Category,Link
Brookline Hospital to Pay Up To $6.5 Million to Resolve False Claims Act Liability Concerning Kickback Allegations,"October 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brookline-hospital-to-pay-up-to-65-million-to-resolve-false-claims-act-liability-concerning-kickback-allegations/
"Lehigh Valley-Area Doctor Agrees to Pay $45,000 to Resolve False Claims Act Liability","October 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lehigh-valley-area-doctor-agrees-to-pay-45000-to-resolve-false-claims-act-liability/
"Patient First New Jersey Physicians Group Agreed to Pay $25,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","September 30, 2024",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/patient-first-new-jersey-physicians-group-agreed-to-pay-25000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Lab Owner Pleads Guilty to $14M COVID-19 Fraud Scheme,"September 30, 2024",COVID-19Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lab-owner-pleads-guilty-to-14m-covid-19-fraud-scheme/
Brooklyn-Based Home Health Care Agencies Settle Fraud Claims for $9.75 Million and Agree to Pay $7.5 Million in Wages and Benefits to Underpaid Aides,"September 30, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brooklyn-based-home-health-care-agencies-settle-fraud-claims-for-975-million-and-agree-to-pay-75-million-in-wages-and-benefits-to-underpaid-aides/
Founder and Chief Executive Officer of Injectable Stem Cell Product Manufacturer Sentenced for Distributing Unapproved Drug,"September 30, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/founder-and-chief-executive-officer-of-injectable-stem-cell-product-manufacturer-sentenced-for-distributing-unapproved-drug/
"Joint Regeneration of North Atlanta Agreed to Pay $66,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Orthoses that Did Not Meet Medicare Requirements","September 30, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/joint-regeneration-of-north-atlanta-agreed-to-pay-66000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-orthoses-that-did-not-meet-medicare-requirements/
Attorney General James And U.S. Attorney Peace Secure Over $17 Million From Home Health Agencies For Cheating Workers And Defrauding Medicaid In Landmark Wage Parity Agreement,"September 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-and-us-attorney-peace-secure-over-17-million-from-home-health-agencies-for-cheating-workers-and-defrauding-medicaid-in-landmark-wage-parity-agreement/
The Pathway Home Abuse Investigation – Victims Being Sought,"September 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/the-pathway-home-abuse-investigation-victims-being-sought/
Owner of Oahu Physical Therapy Clinics Pleads Guilty to Health Care Fraud,"September 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-oahu-physical-therapy-clinics-pleads-guilty-to-health-care-fraud/
"Hospital, Laboratory, Referring Physician, and Lab Employees Pay More than $7.2 Million To Resolve Civil Allegations of Fraudulent Laboratory Testing","September 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hospital-laboratory-referring-physician-and-lab-employees-pay-more-than-72-million-to-resolve-civil-allegations-of-fraudulent-laboratory-testing/
"Physician and Office Manager Pay $450,000 to Resolve Alleged Violations of the Controlled Substance Act and the False Claims Act","September 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-and-office-manager-pay-450000-to-resolve-alleged-violations-of-the-controlled-substance-act-and-the-false-claims-act/
Behavioral Healthcare Company Executive Pleads Guilty to Healthcare Fraud,"September 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/behavioral-healthcare-company-executive-pleads-guilty-to-healthcare-fraud/
Acadia Healthcare Company Inc. to Pay $19.85M to Settle Allegations Relating to Medically Unnecessary Inpatient Behavioral Health Services,"September 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/acadia-healthcare-company-inc-to-pay-1985m-to-settle-allegations-relating-to-medically-unnecessary-inpatient-behavioral-health-services/
Attorney General Griffin Announces Arrest Of Little Rock Woman On Felony Medicaid Fraud Charge,"September 26, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-arrest-of-little-rock-woman-on-felony-medicaid-fraud-charge/
Texas Businessman Accused of $1.9 Million COVID Test Kit Fraud,"September 25, 2024",COVID-19Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-businessman-accused-of-19-million-covid-test-kit-fraud/
Over 100 Defendants Federally Charged With Fraud Related To The COVID-19 Pandemic,"September 25, 2024",COVID-19Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/over-100-defendants-federally-charged-with-fraud-related-to-the-covid-19-pandemic/
Former Pharmacy Chief Financial Officer and Former Pharmacy President Admit Roles in $33 Million Pharmacy Compounded Medication Scheme,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-pharmacy-chief-financial-officer-and-former-pharmacy-president-admit-roles-in-33-million-pharmacy-compounded-medication-scheme/
Prineville Woman Sentenced to Federal Prison for Multi-Million Dollar Drug Treatment Fraud Scheme,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prineville-woman-sentenced-to-federal-prison-for-multi-million-dollar-drug-treatment-fraud-scheme/
"$2,125,640 Recouped in Civil Settlements for Violations of the False Claims Act from Local Pharmacies in Cidra and Florida, Puerto Rico","September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/2125640-recouped-in-civil-settlements-for-violations-of-the-false-claims-act-from-local-pharmacies-in-cidra-and-florida-puerto-rico/
27 Individuals Indicted for Buying and Selling Wholesale Quantities of Misbranded and Diverted Prescription Drugs Resold to the Public Through Retail Pharmacies in Puerto Rico,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/27-individuals-indicted-for-buying-and-selling-wholesale-quantities-of-misbranded-and-diverted-prescription-drugs-resold-to-the-public-through-retail-pharmacies-in-puerto-rico/
"Ra Medical Systems, Inc. & Physicians Pay Over $8 Million to Resolve False Claims Act Allegations of Illegal Kickbacks","September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ra-medical-systems-inc-physicians-pay-over-8-million-to-resolve-false-claims-act-allegations-of-illegal-kickbacks/
USAO NDWV Secures False Claims Act Settlement Relating to Use of Amniotic Fluid Injections for Pain Management,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/usao-ndwv-secures-false-claims-act-settlement-relating-to-use-of-amniotic-fluid-injections-for-pain-management/
Virginia-Based Defense Contractor To Pay $2.25 Million Fine for Bribery Conspiracy,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/virginia-based-defense-contractor-to-pay-225-million-fine-for-bribery-conspiracy/
"Big South Fork Medical Center Agreed to Pay $60,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examinations","September 24, 2024",CMP and Affirmative ExclusionsEMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/big-south-fork-medical-center-agreed-to-pay-60000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examinations/
Seven People Charged With Over $40 Million In Medicare And Medicaid Fraud,"September 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/seven-people-charged-with-over-40-million-in-medicare-and-medicaid-fraud/
"Digestive Health Partners Agreed to Pay $74,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Upcoded Drugs and Services","September 24, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/digestive-health-partners-agreed-to-pay-74000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-upcoded-drugs-and-services/
Attorney General Alan Wilson announces Irmo woman charged with stealing from Charleston nursing home resident,"September 24, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-irmo-woman-charged-with-stealing-from-charleston-nursing-home-resident/
Home Health Care Companies Owner Convicted Of Medicaid Fraud,"September 23, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-care-companies-owner-convicted-of-medicaid-fraud/
"Hope Pharmacy Agreed to Pay $100,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Waived Copayments","September 23, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/hope-pharmacy-agreed-to-pay-100000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-waived-copayments/
"Michael G. Valpiani, MD AZ, and Dr. Michael G. Valpiani Agreed to Pay $296,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed","September 23, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/michael-g-valpiani-md-az-and-dr-michael-g-valpiani-agreed-to-pay-296000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed/
Nine Individuals Indicted In $28 Million Illegal Opioid Distribution Conspiracy Three Doctors and A Clinic Owner Among Those Indicted,"September 20, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nine-individuals-indicted-in-28-million-illegal-opioid-distribution-conspiracy-three-doctors-and-a-clinic-owner-among-those-indicted/
Tallahassee Woman Arrested for Defrauding Medicaid Program,"September 20, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/tallahassee-woman-arrested-for-defrauding-medicaid-program/
"Medical Device Distributor To Pay $1,019,000 To Resolve False Claims Act Liability Arising From Billing Of “P-Stim” Devices","September 19, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-device-distributor-to-pay-1019000-to-resolve-false-claims-act-liability-arising-from-billing-of-p-stim-devices/
Philadelphia Woman Sentenced To 20 Months In Prison For Conspiring To Defraud Medicaid,"September 19, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/philadelphia-woman-sentenced-to-20-months-in-prison-for-conspiring-to-defraud-medicaid/
"Maryland Man Sentenced For Selling Fraudulent Nursing Diplomas, Transcripts And Nursing Licenses","September 18, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/maryland-man-sentenced-for-selling-fraudulent-nursing-diplomas-transcripts-and-nursing-licenses/
Doctor Charged In $32.7M Medicare Fraud Scheme,"September 18, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-charged-in-327m-medicare-fraud-scheme/
Oak Street Health Agrees To Pay $60M To Resolve Alleged False Claims Act Liability For Paying Kickbacks To Insurance Agents In Medicare Advantage Patient Recruitment Scheme,"September 18, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oak-street-health-agrees-to-pay-60m-to-resolve-alleged-false-claims-act-liability-for-paying-kickbacks-to-insurance-agents-in-medicare-advantage-patient-recruitment-scheme/
Attorney General Bonta Announces Indictment Of Southern California Healthcare Provider For Medi-Cal Fraud Of Nearly $60 Million,"September 18, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-indictment-of-southern-california-healthcare-provider-for-medi-cal-fraud-of-nearly-60-million/
Carr: Lawrenceville Man Indicted For Medicaid And Identity Fraud,"September 18, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carr-lawrenceville-man-indicted-for-medicaid-and-identity-fraud/
Managers Of Suburban Chicago Youth Counseling Center Sentenced To Prison For Defrauding Illinois Medicaid Out Of $2.5 Million,"September 17, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/managers-of-suburban-chicago-youth-counseling-center-sentenced-to-prison-for-defrauding-illinois-medicaid-out-of-25-million/
South Dakota Surgical Hospital And United Surgical Partners International Agree To Pay More Than $12.7 Million To Resolve Alleged False Claims Act Violations,"September 17, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-dakota-surgical-hospital-and-united-surgical-partners-international-agree-to-pay-more-than-127-million-to-resolve-alleged-false-claims-act-violations/
Doctor Pleads Guilty To Conspiracy To Illegally Using A Drug Enforcement Administration Registration Number Issued To Another,"September 17, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-pleads-guilty-to-conspiracy-to-illegally-using-a-drug-enforcement-administration-registration-number-issued-to-another/
East Lansing Caregiver Sentenced For Role In Freezing Death Of Elderly Woman,"September 17, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/east-lansing-caregiver-sentenced-for-role-in-freezing-death-of-elderly-woman/
South Dakota Surgical Hospital Agrees To Pay More Than $12.7M To Resolve Alleged False Claims Act Violations,"September 16, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-dakota-surgical-hospital-agrees-to-pay-more-than-127m-to-resolve-alleged-false-claims-act-violations/
"Dunes Surgical Hospital and USP Siouxland Agreed to Pay $267,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Free Office Space and Above Fair Market Value for Services","September 16, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/dunes-surgical-hospital-and-usp-siouxland-agreed-to-pay-267000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-free-office-space-and-above-fair-market-value-for-services/
Attorney General Alan Wilson Announces Upstate Woman Charged With Fraud And Stealing From Vulnerable Adult,"September 16, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-woman-charged-with-fraud-and-stealing-from-vulnerable-adult/
Licensed Professional Counselor Indicted In $2 Million Health Care Fraud Scheme,"September 13, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/licensed-professional-counselor-indicted-in-2-million-health-care-fraud-scheme/
California Addiction Treatment Facility Operator Convicted Of Paying Nearly $2.9M In Illegal Kickbacks,"September 13, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-addiction-treatment-facility-operator-convicted-of-paying-nearly-29m-in-illegal-kickbacks/
Walgreens Agrees To Pay $106.8M To Resolve Allegations It Billed The Government For Prescriptions Never Dispensed,"September 13, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/walgreens-agrees-to-pay-1068m-to-resolve-allegations-it-billed-the-government-for-prescriptions-never-dispensed/
Sioux City Mental Health Counselor Arrested For Fraudulent Billing Insurance And Medicaid,"September 13, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/sioux-city-mental-health-counselor-arrested-for-fraudulent-billing-insurance-and-medicaid/
Geriatric Nursing Assistant Sentenced For Theft Involving Nursing Facility Resident’s Debit Card,"September 13, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/geriatric-nursing-assistant-sentenced-for-theft-involving-nursing-facility-residents-debit-card/
Final Medoc Defendant Sentenced In $4.4 Million Prescription Kickback Scheme,"September 12, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/final-medoc-defendant-sentenced-in-44-million-prescription-kickback-scheme/
Former Charleston Physician Pleads Guilty To Federal Opioid Crime,"September 12, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-charleston-physician-pleads-guilty-to-federal-opioid-crime/
Attorney General James Secures More Than $7.6 Million From Health Insurer For Using Banned Medicaid Provider,"September 12, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-more-than-76-million-from-health-insurer-for-using-banned-medicaid-provider/
United States Settles Claims Of Durable Medical Equipment Fraud Against Wilmington Physician,"September 11, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-settles-claims-of-durable-medical-equipment-fraud-against-wilmington-physician/
"Man Pleads Guilty To Stealing More Than $68,000 From Medicaid And SNAP","September 11, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-pleads-guilty-to-stealing-more-than-68000-from-medicaid-and-snap/
"United States Files Suit Against Pain Institute Of Nashville, Michael Cox, Debbie Cox, And Related Entities","September 11, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-files-suit-against-pain-institute-of-nashville-michael-cox-debbie-cox-and-related-entities/
"Medical Center Health System and Medical Center Hospital, and MCH Professional Care, Agreed to Pay $518,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Medically Unnecessary Services","September 11, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/medical-center-health-system-and-medical-center-hospital-and-mch-professional-care-agreed-to-pay-518000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-medically-unnecessary-services/
Behavioral Health Care Company Executive Charged With Health Care Fraud,"September 10, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/behavioral-health-care-company-executive-charged-with-health-care-fraud/
"Baylor College of Medicine Agreed to Pay $622,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying for Certain Technical Components of Services Related to Referrals by Certain Physicians and Physician Practices","September 10, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/baylor-college-of-medicine-agreed-to-pay-622000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-for-certain-technical-components-of-services-related-to-referrals-by-certain-physicians-and-physician-practices/
Marketer Of Durable Medical Equipment Admits Multimillion-Dollar Health Care Fraud Scheme,"September 6, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/marketer-of-durable-medical-equipment-admits-multimillion-dollar-health-care-fraud-scheme/
"Medical Device Company To Pay $700,000 To Resolve False Claims Act Allegations Concerning Inflated Reimbursements From Medicare And Medicaid","September 6, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-device-company-to-pay-700000-to-resolve-false-claims-act-allegations-concerning-inflated-reimbursements-from-medicare-and-medicaid/
"Pharmacists Convicted Of $13M Medicare, Medicaid, And Private Insurer Fraud Scheme","September 6, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacists-convicted-of-13m-medicare-medicaid-and-private-insurer-fraud-scheme/
"The Rector and Visitors of the University of Virginia Agreed to Pay $66,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","September 6, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/the-rector-and-visitors-of-the-university-of-virginia-agreed-to-pay-66000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Home Health Care Company Operators Sentenced To Prison In $5.5 Million Kickback Scheme And Tax Evasion,"September 5, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-care-company-operators-sentenced-to-prison-in-55-million-kickback-scheme-and-tax-evasion/
Macon Resident Sentenced For Obstructing Justice In Civil Investigation,"September 5, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/macon-resident-sentenced-for-obstructing-justice-in-civil-investigation/
"Attorney General Moody Announces Arrest Of Owner Of Caregiving Company For More Than $20,000 In Medicaid Fraud","September 5, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-moody-announces-arrest-of-owner-of-caregiving-company-for-more-than-20000-in-medicaid-fraud/
Former Chief Operating Officer Of COVID-19 Testing Kit Company Sentenced To More Than Six Years In Federal Prison For Embezzling $1.85 Million,"September 4, 2024",COVID-19Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-chief-operating-officer-of-covid-19-testing-kit-company-sentenced-to-more-than-six-years-in-federal-prison-for-embezzling-185-million/
Connecticut Dentist Pleads Guilty To Violating Federal Anti-Kickback Law,"September 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-dentist-pleads-guilty-to-violating-federal-anti-kickback-law/
Pharmaceutical Company Pays $25 Million To Resolve Alleged False Claims Act Liability For Price-Fixing Of Generic Drug,"September 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmaceutical-company-pays-25-million-to-resolve-alleged-false-claims-act-liability-for-price-fixing-of-generic-drug/
Attorney General Brown Announces Conviction of Washington County Care Provider Who Assaulted Vulnerable Adult,"September 4, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-brown-announces-conviction-of-washington-county-care-provider-who-assaulted-vulnerable-adult/
Four Defendants Plead Guilty To Defrauding Virginia Medicaid,"September 3, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-defendants-plead-guilty-to-defrauding-virginia-medicaid/
"Slidell Memorial Hospital Agreed to Pay Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","August 30, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/slidell-memorial-hospital-agreed-to-pay-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Former Dentist Who Stole Millions From Maryland Medicaid Now Sentenced For Violating Probation,"August 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-dentist-who-stole-millions-from-maryland-medicaid-now-sentenced-for-violating-probation/
West Hartford Woman Sentenced For Medicaid Fraud,"August 29, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/west-hartford-woman-sentenced-for-medicaid-fraud/
Connecticut Dentists Pay $1.7 Million To Settle False Claims Allegations,"August 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-dentists-pay-17-million-to-settle-false-claims-allegations/
Madison Man Pleads Guilty To Conspiracy To Defraud The United States,"August 28, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/madison-man-pleads-guilty-to-conspiracy-to-defraud-the-united-states/
U.S. Attorney Jesse Laslovich Announces $10.8 Million Civil Settlement With St. Peter’s Health Over False Claims Act Misconduct,"August 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-jesse-laslovich-announces-108-million-civil-settlement-with-st-peters-health-over-false-claims-act-misconduct/
Suffolk Services Provider Pleads Guilty To Health Care Fraud,"August 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/suffolk-services-provider-pleads-guilty-to-healthcare-fraud/
"Oklahoma Medical Clinic, Owners, And Treating Physician Pay $246,000 To Settle Allegations Of Submitting False Medicare Claims For Medically Unnecessary Ultrasound Procedures","August 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oklahoma-medical-clinic-owners-and-treating-physician-pay-246000-to-settle-allegations-of-submitting-false-medicare-claims-for-medically-unnecessary-ultrasound-procedures/
California Doctor Sentenced For Health Care Fraud Scheme,"August 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-doctor-sentenced-for-health-care-fraud-scheme/
Baptist Health Services Agreed to Pay $1.4 Million for Allegedly Violating the Civil Monetary Penalties Law by Using False Records in Support of Claims for Office Visits,"August 27, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/baptist-health-services-agreed-to-pay-14-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-using-false-records-in-support-of-claims-for-office-visits/
"Florence Wellness Agreed to Pay $194,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Improper Claims for Remote Patient Monitoring","August 27, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/florence-wellness-agreed-to-pay-194000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-improper-claims-for-remote-patient-monitoring/
"Yavapai Regional Medical Center Agreed to Pay $10,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Properly Certified","August 27, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/yavapai-regional-medical-center-agreed-to-pay-10000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-properly-certified/
"Temporary Nurse Staffing Agencies In Quincy, Waltham To Pay More Than $600,000 In Separate Settlements For Failure To Comply With Rate Limits","August 27, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/temporary-nurse-staffing-agencies-in-quincy-waltham-to-pay-more-than-600000-in-separate-settlements-for-failure-to-comply-with-rate-limits/
"United Seating And Mobility, LLC, D/B/A Numotion, Agrees To Pay $13,500,000 To Resolve Alleged False Claims For Custom Wheelchairs","August 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-seating-and-mobility-llc-dba-numotion-agrees-to-pay-13500000-to-resolve-alleged-false-claims-for-custom-wheelchairs/
Texarkana Physician Sentenced To More Than 7 Years In Federal Prison For Prescribing Controlled Substances Without A Legitimate Medical Purpose,"August 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texarkana-physician-sentenced-to-more-than-7-years-in-federal-prison-for-prescribing-controlled-substances-without-a-legitimate-medical-purpose/
"Buffalo Pharmacy Pays More Than $140,000 To Settle Record Keeping And Misbilling Allegations","August 23, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/buffalo-pharmacy-pays-more-than-140000-to-settle-record-keeping-and-misbilling-allegations/
"Camden-Clark Physician Corporation and Parkersburg Cardiology Associates Agreed to Pay $155,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Without Proper Supervision","August 23, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/camden-clark-physician-corporation-and-parkersburg-cardiology-associates-agreed-to-pay-155000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-without-proper-supervision/
"Oregon DOJ Reaches Plea Deal With Nurse For Criminal Mistreatment, Elder Abuse","August 23, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/oregon-doj-reaches-plea-deal-with-nurse-for-criminal-mistreatment-elder-abuse/
Husband And Wife Sentenced For Defrauding An Elderly Victim Out Of Her Home And Obstruction Of Justice,"August 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/husband-and-wife-sentenced-for-defrauding-an-elderly-victim-out-of-her-home-and-obstruction-of-justice/
Connecticut Man Admits Role In $7.8 Million Health Care Fraud And Kickback Scheme,"August 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-man-admits-role-in-78-million-health-care-fraud-and-kickback-scheme/
St. Louis Man Sentenced For Home Health Care Fraud,"August 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/st-louis-man-sentenced-for-home-health-care-fraud/
"President Of UMI Learning Center Sentenced To 27 Months In Prison, Ordered To Pay $3.7 Million Back In Stolen Childcare Benefits","August 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/president-of-umi-learning-center-sentenced-to-27-months-in-prison-ordered-to-pay-37-million-back-in-stolen-childcare-benefits/
"Mary Free Bed Medical Group Agreed to Pay $69,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Upcoded Services","August 21, 2024",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/mary-free-bed-medical-group-agreed-to-pay-69000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-upcoded-services/
NIRP And Founder To Pay Nearly $9M To Resolve Alleged Kickback Referral Violations,"August 20, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nirp-and-founder-to-pay-nearly-9m-to-resolve-alleged-kickback-referral-violations/
